Loop_counter,BAS Score Test,params,mean_test_score,std_test_score,mean_train_score,std_train_score,data_sampler_sampling_method,scaler_name,feature_adder_auto_encoder_on,feature_adder_clustering_on,feature_adder_custom_on,feature_adder_lda_on,feature_adder_lda_shrinkage,feature_adder_n_clusters,feature_adder_n_encoder_features,classifier_classifier
22,0.6842592592592592,"{'C': 1.1, 'gamma': 'scale', 'kernel': 'rbf', 'probability': False}",0.6918981481481481,0.02340024760107243,0.9223379629629628,0.002737385652420872,None,robustscaler,True,False,True,False,0.9,16,16,SVC
23,0.6935185185185185,"{'C': 1.1, 'gamma': 'scale', 'kernel': 'rbf', 'probability': False}",0.6914351851851852,0.0261338389396374,0.9215277777777778,0.002872609640275663,None,robustscaler,True,False,True,False,0.9,16,32,SVC
24,0.6824074074074075,"{'C': 1.1, 'gamma': 'scale', 'kernel': 'rbf', 'probability': False}",0.7041666666666667,0.021355342861314144,0.9250900205761317,0.002693412150211404,None,robustscaler,True,True,False,True,0.9,16,16,SVC
25,0.6875,"{'C': 1.1, 'gamma': 'scale', 'kernel': 'rbf', 'probability': False}",0.7030092592592593,0.020930841769365396,0.9240354938271604,0.0027695792840383543,None,robustscaler,True,True,False,True,0.9,16,32,SVC
26,0.6759259259259259,"{'C': 1.1, 'gamma': 'scale', 'kernel': 'rbf', 'probability': False}",0.6936342592592594,0.02354435233597307,0.9231095679012344,0.002715548816340224,None,robustscaler,True,True,False,False,0.9,16,16,SVC
27,0.6870370370370371,"{'C': 1.1, 'gamma': 'scale', 'kernel': 'rbf', 'probability': False}",0.69375,0.024301145984482363,0.9228009259259258,0.0029370862660358116,None,robustscaler,True,True,False,False,0.9,16,32,SVC
28,0.6935185185185185,"{'C': 1.1, 'gamma': 'scale', 'kernel': 'rbf', 'probability': False}",0.7,0.022691089556640714,0.9240612139917695,0.0027946648420911577,None,robustscaler,True,True,True,True,0.9,16,16,SVC
29,0.6916666666666668,"{'C': 1.1, 'gamma': 'scale', 'kernel': 'rbf', 'probability': False}",0.697337962962963,0.020307470755468918,0.9232381687242798,0.003038600972758482,None,robustscaler,True,True,True,True,0.9,16,32,SVC
30,0.6865740740740741,"{'C': 1.1, 'gamma': 'scale', 'kernel': 'rbf', 'probability': False}",0.6920138888888889,0.02243370864204612,0.9219907407407408,0.00272694398874572,None,robustscaler,True,True,True,False,0.9,16,16,SVC
31,0.687037037037037,"{'C': 1.1, 'gamma': 'scale', 'kernel': 'rbf', 'probability': False}",0.6913194444444446,0.02395050417793394,0.9211676954732511,0.0028280487669554277,None,robustscaler,True,True,True,False,0.9,16,32,SVC
